epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,5700.78,0.98374,0.93536,1.25727,0.74413,0.70662,0.75053,0.55434,0.7424,0.92268,0.93251,0.0092476,0.0092476,0.0092476
78,5773.39,0.98209,0.93666,1.25901,0.73745,0.72347,0.75224,0.55503,0.7398,0.91857,0.93173,0.0092377,0.0092377,0.0092377
79,5845.87,0.97406,0.93184,1.25285,0.75176,0.70836,0.75328,0.55606,0.7412,0.9251,0.93219,0.0092278,0.0092278,0.0092278
80,5918.65,0.97664,0.92523,1.25358,0.75725,0.70365,0.75437,0.55761,0.74293,0.93345,0.93533,0.0092179,0.0092179,0.0092179
81,5991.07,0.97217,0.93041,1.25164,0.76052,0.70567,0.75671,0.56024,0.74087,0.94613,0.9336,0.009208,0.009208,0.009208
82,6063.31,0.96882,0.92072,1.24716,0.75766,0.7081,0.75788,0.56047,0.73917,0.97531,0.93229,0.0091981,0.0091981,0.0091981
83,6135.52,0.97215,0.92269,1.25197,0.76042,0.70958,0.75789,0.56117,0.73915,0.98698,0.93318,0.0091882,0.0091882,0.0091882
84,6208.1,0.97178,0.91422,1.24761,0.76598,0.70965,0.75713,0.5605,0.73754,0.95505,0.93182,0.0091783,0.0091783,0.0091783
85,6280.61,0.97323,0.91649,1.25094,0.76964,0.7011,0.75725,0.56232,0.73772,0.93542,0.93158,0.0091684,0.0091684,0.0091684
86,6353.08,0.96777,0.91383,1.24516,0.76373,0.71006,0.75868,0.56298,0.73409,0.9379,0.9278,0.0091585,0.0091585,0.0091585
87,6425.71,0.96915,0.91304,1.24778,0.76279,0.70974,0.75909,0.56393,0.73462,0.91397,0.9287,0.0091486,0.0091486,0.0091486
88,6498.28,0.96513,0.91356,1.24664,0.7663,0.7066,0.76035,0.56615,0.73308,0.90597,0.92774,0.0091387,0.0091387,0.0091387
89,6570.64,0.96353,0.90243,1.24165,0.76169,0.71177,0.76106,0.56613,0.73061,0.8888,0.92631,0.0091288,0.0091288,0.0091288
90,6643.61,0.95883,0.90315,1.24103,0.76185,0.71219,0.76126,0.56699,0.72874,0.87837,0.9237,0.0091189,0.0091189,0.0091189
91,6716.12,0.9644,0.9085,1.24108,0.7688,0.70424,0.76197,0.56768,0.72693,0.87615,0.92226,0.009109,0.009109,0.009109
92,6789.03,0.96169,0.90189,1.24032,0.76495,0.70821,0.7626,0.56867,0.72576,0.86444,0.92131,0.0090991,0.0090991,0.0090991
93,6861.38,0.95667,0.90182,1.2361,0.75852,0.71413,0.76308,0.56938,0.72417,0.86646,0.91988,0.0090892,0.0090892,0.0090892
94,6933.77,0.9614,0.90285,1.24305,0.75336,0.72136,0.76437,0.56982,0.72238,0.85876,0.91846,0.0090793,0.0090793,0.0090793
95,7006.14,0.95943,0.90039,1.24018,0.75749,0.72062,0.76416,0.56968,0.72343,0.85308,0.91912,0.0090694,0.0090694,0.0090694
96,7078.61,0.95861,0.89445,1.23999,0.75032,0.72786,0.76605,0.5708,0.72302,0.86343,0.91851,0.0090595,0.0090595,0.0090595
97,7151.06,0.95767,0.89348,1.2408,0.75445,0.72665,0.76682,0.57188,0.72288,0.86573,0.91812,0.0090496,0.0090496,0.0090496
98,7223.32,0.95454,0.89011,1.234,0.75721,0.71869,0.76726,0.57298,0.72083,0.86979,0.91668,0.0090397,0.0090397,0.0090397
99,7295.86,0.95132,0.88553,1.23575,0.75875,0.71911,0.76785,0.57281,0.71891,0.86557,0.91472,0.0090298,0.0090298,0.0090298
100,7368.09,0.95127,0.88841,1.23485,0.75881,0.71977,0.76828,0.57372,0.71791,0.86397,0.91394,0.0090199,0.0090199,0.0090199
101,7440.42,0.94406,0.88373,1.23025,0.7582,0.72135,0.76843,0.57406,0.71813,0.85743,0.91482,0.00901,0.00901,0.00901
102,7513.06,0.95335,0.8881,1.23712,0.75693,0.71957,0.76885,0.57421,0.71869,0.84547,0.91535,0.0090001,0.0090001,0.0090001
