                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      3,                  1.569,                 1.6173,                 1.7194,                0.54224,                0.31234,                0.33902,                0.20128,                0.45908,                 104.92,                 0.4982,              0.0098942,              0.0098942,              0.0098942
                      4,                 1.5907,                 1.6409,                 1.7382,                0.49525,                0.44553,                0.42722,                0.24978,                0.44369,                 111.67,                0.48753,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.556,                 1.5891,                  1.723,                0.66425,                0.41249,                0.48882,                0.28999,                0.42351,                 45.009,                0.47467,               0.009802,               0.009802,               0.009802
                      6,                 1.5124,                  1.511,                 1.6969,                0.50561,                 0.5309,                0.50303,                0.29812,                0.43102,                 53.091,                0.48436,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4761,                 1.4246,                 1.6625,                0.77099,                0.42488,                0.54165,                0.33745,                0.39706,                 12.758,                0.45556,               0.009703,               0.009703,               0.009703
                      8,                  1.444,                 1.3827,                 1.6361,                0.69601,                0.47272,                0.57137,                0.36151,                0.39259,                 64.935,                0.45462,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4054,                 1.3069,                 1.6123,                 0.7108,                0.53439,                0.64552,                0.41572,                0.37335,                 24.533,                0.43327,               0.009604,               0.009604,               0.009604
                     10,                 1.3835,                 1.2625,                 1.5942,                0.60255,                0.58058,                0.61741,                0.39857,                0.38014,                 25.806,                0.44247,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3595,                 1.2186,                 1.5673,                0.82578,                0.54911,                0.66593,                0.43449,                 0.3818,                 12.346,                0.44179,               0.009505,               0.009505,               0.009505
                     12,                 1.3411,                  1.186,                 1.5558,                0.72061,                0.58017,                0.67899,                0.45052,                0.35495,                 14.862,                0.42627,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.3084,                 1.1383,                 1.5314,                0.73411,                0.59444,                0.67906,                0.45951,                0.34439,                 13.114,                0.41431,               0.009406,               0.009406,               0.009406
                     14,                 1.2925,                  1.112,                 1.5206,                0.72281,                0.59203,                0.68418,                0.45396,                0.35734,                 11.603,                0.42528,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.2687,                 1.0848,                 1.4982,                0.80857,                0.65402,                0.75737,                 0.5074,                0.34392,                 15.728,                0.41996,               0.009307,               0.009307,               0.009307
                     16,                 1.2509,                 1.0516,                 1.4872,                0.73974,                0.68788,                0.71264,                0.46611,                0.33615,                 10.673,                0.40674,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2366,                 1.0371,                 1.4788,                0.70685,                 0.6574,                0.71099,                0.46447,                0.33694,                 6.5132,                0.41324,               0.009208,               0.009208,               0.009208
                     18,                 1.2177,                 1.0092,                 1.4575,                0.75463,                0.67519,                 0.7301,                0.50115,                0.32764,                 12.776,                0.41064,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.1929,                0.97725,                 1.4469,                0.84575,                0.61685,                0.74097,                0.51083,                0.33283,                 12.679,                0.41758,               0.009109,               0.009109,               0.009109
                     20,                 1.1839,                0.96262,                  1.433,                0.75656,                0.66094,                0.75267,                0.52187,                0.32923,                 4.8091,                0.40677,              0.0090595,              0.0090595,              0.0090595
                     21,                  1.166,                0.94316,                  1.422,                0.80053,                0.64527,                0.75913,                0.51194,                0.31899,                 6.3782,                0.40401,                0.00901,                0.00901,                0.00901
                     22,                 1.1498,                0.92107,                 1.4101,                0.80843,                 0.6562,                0.78081,                0.54671,                0.29955,                 6.1791,                0.39782,              0.0089605,              0.0089605,              0.0089605
