epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,14994.3,0.85861,0.80919,1.18573,0.70203,0.62304,0.6821,0.52674,0.61974,1.30892,0.83658,0.0092278,0.0092278,0.0092278
80,15184,0.85619,0.80526,1.18498,0.70573,0.61933,0.68203,0.52774,0.61822,1.29265,0.83552,0.0092179,0.0092179,0.0092179
81,15373.7,0.85729,0.80253,1.18715,0.70391,0.62501,0.68261,0.52902,0.61711,1.27394,0.83455,0.009208,0.009208,0.009208
82,15563.4,0.85331,0.80024,1.18024,0.71033,0.62138,0.68325,0.52904,0.61669,1.27567,0.83427,0.0091981,0.0091981,0.0091981
83,15753.2,0.85513,0.79716,1.18304,0.71727,0.61774,0.68364,0.53007,0.61666,1.27925,0.83477,0.0091882,0.0091882,0.0091882
84,15943.1,0.85038,0.79204,1.17828,0.71886,0.61828,0.68502,0.53076,0.61592,1.28963,0.83453,0.0091783,0.0091783,0.0091783
85,16132.9,0.8452,0.78803,1.17382,0.71574,0.6194,0.6857,0.53073,0.61459,1.29423,0.834,0.0091684,0.0091684,0.0091684
86,16322.5,0.84941,0.79609,1.17961,0.71758,0.62029,0.6859,0.5318,0.61325,1.29672,0.83341,0.0091585,0.0091585,0.0091585
87,16512.2,0.84402,0.79064,1.17421,0.71685,0.62036,0.68524,0.5318,0.61197,1.30341,0.83254,0.0091486,0.0091486,0.0091486
88,16701.4,0.8438,0.78947,1.17785,0.71703,0.62186,0.68583,0.53261,0.61146,1.30096,0.8327,0.0091387,0.0091387,0.0091387
89,16891.2,0.83916,0.78204,1.17171,0.70942,0.62548,0.68597,0.53292,0.61058,1.29994,0.83249,0.0091288,0.0091288,0.0091288
90,17080.9,0.84248,0.78159,1.1713,0.70998,0.62624,0.68597,0.53333,0.61029,1.30976,0.83257,0.0091189,0.0091189,0.0091189
91,17270.4,0.84464,0.78202,1.17631,0.70739,0.62697,0.68567,0.53386,0.60995,1.31312,0.83225,0.009109,0.009109,0.009109
92,17460.1,0.84057,0.78097,1.1694,0.70658,0.62791,0.68641,0.53437,0.60995,1.32143,0.83196,0.0090991,0.0090991,0.0090991
93,17650,0.84149,0.77999,1.17362,0.70237,0.63158,0.68631,0.53483,0.60975,1.33929,0.83237,0.0090892,0.0090892,0.0090892
94,17839.7,0.83212,0.77454,1.16816,0.69935,0.63492,0.68783,0.53532,0.60938,1.35259,0.83255,0.0090793,0.0090793,0.0090793
95,18029.1,0.83133,0.771,1.16498,0.68948,0.64699,0.68768,0.53546,0.60921,1.34859,0.83293,0.0090694,0.0090694,0.0090694
96,18218.7,0.83063,0.77049,1.16559,0.68914,0.64975,0.687,0.53488,0.60903,1.34577,0.83332,0.0090595,0.0090595,0.0090595
97,18407.8,0.83105,0.76959,1.16745,0.68892,0.65096,0.68702,0.53546,0.60858,1.35078,0.83368,0.0090496,0.0090496,0.0090496
98,18597,0.82845,0.7623,1.16357,0.68788,0.6516,0.68758,0.53632,0.60757,1.3456,0.83294,0.0090397,0.0090397,0.0090397
99,18787,0.82964,0.76705,1.16354,0.68413,0.65421,0.68772,0.53652,0.60651,1.33459,0.83211,0.0090298,0.0090298,0.0090298
100,18976.7,0.82354,0.7648,1.16331,0.70143,0.63941,0.68728,0.53635,0.60611,1.33058,0.83197,0.0090199,0.0090199,0.0090199
101,19165.8,0.82682,0.76674,1.16277,0.70111,0.63695,0.68726,0.5366,0.60568,1.32986,0.83147,0.00901,0.00901,0.00901
102,19355.5,0.81959,0.75063,1.15439,0.70217,0.63494,0.68753,0.53707,0.60463,1.32915,0.83048,0.0090001,0.0090001,0.0090001
103,19545.7,0.82109,0.75768,1.15797,0.69797,0.64127,0.68719,0.53724,0.6036,1.32434,0.82983,0.0089902,0.0089902,0.0089902
104,19735.7,0.82346,0.75793,1.16006,0.69891,0.64068,0.68766,0.53788,0.60273,1.31669,0.82927,0.0089803,0.0089803,0.0089803
105,19925.8,0.8194,0.75209,1.1541,0.69972,0.64034,0.68789,0.53809,0.60232,1.31036,0.82907,0.0089704,0.0089704,0.0089704
106,20115.7,0.82093,0.75417,1.16107,0.69905,0.64098,0.6881,0.53828,0.60193,1.30254,0.82882,0.0089605,0.0089605,0.0089605
107,20305.6,0.81641,0.74776,1.15636,0.70089,0.641,0.68815,0.53814,0.60167,1.29851,0.82864,0.0089506,0.0089506,0.0089506
108,20495,0.81053,0.74288,1.14789,0.70139,0.64031,0.68838,0.53821,0.60122,1.29274,0.82833,0.0089407,0.0089407,0.0089407
109,20684.5,0.81841,0.75265,1.15367,0.70448,0.63821,0.68845,0.53855,0.60092,1.28954,0.82803,0.0089308,0.0089308,0.0089308
110,20874.3,0.81125,0.74026,1.14964,0.70325,0.63756,0.68886,0.53904,0.60066,1.29452,0.82779,0.0089209,0.0089209,0.0089209
111,21064.1,0.81207,0.74214,1.15118,0.70385,0.63763,0.6892,0.53978,0.60058,1.29112,0.82773,0.008911,0.008911,0.008911
112,21253.9,0.81326,0.74701,1.15185,0.70352,0.63629,0.68982,0.54035,0.60027,1.28538,0.82772,0.0089011,0.0089011,0.0089011
113,21443.8,0.81466,0.74863,1.15297,0.70855,0.63298,0.68999,0.54043,0.59988,1.27826,0.82786,0.0088912,0.0088912,0.0088912
114,21633.7,0.81119,0.74363,1.15207,0.7087,0.63285,0.69009,0.5399,0.59945,1.28238,0.82767,0.0088813,0.0088813,0.0088813
