                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      5,                 1.5917,                 1.8491,                 1.8173,                0.49076,                 0.4022,                0.34447,                 0.1728,                0.95681,                  34.75,                 1.1013,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.5576,                 1.7934,                 1.7993,                0.48384,                0.42998,                0.41336,                0.22406,                0.90648,                 54.962,                 1.0515,              0.0012875,              0.0012875,              0.0012875
                      7,                  1.526,                 1.7061,                 1.7592,                0.58573,                0.22956,                0.23563,                0.12469,                  1.024,                 183.46,                 1.2016,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.4986,                 1.6521,                 1.7499,                 0.5297,                0.38678,                0.40295,                0.23057,                0.82539,                 79.122,                0.99522,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.4844,                 1.6076,                 1.7277,                0.62348,                0.42493,                 0.4752,                0.27792,                0.82545,                 36.233,                 1.0111,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.4581,                 1.5705,                 1.7063,                0.63927,                0.41122,                0.48019,                0.28207,                0.77109,                 64.785,                0.96362,              0.0011744,              0.0011744,              0.0011744
                      1,                 1.7513,                 2.7959,                 1.9408,                0.34916,                0.16541,                0.13419,                 0.0665,                 1.0203,                 307.79,                 1.1324,              0.0033197,              0.0033197,              0.0033197
                      2,                  1.605,                 2.2394,                 1.8116,                0.31038,                 0.2649,                0.20545,                0.10296,                0.91515,                 108.82,                 1.0909,              0.0065871,              0.0065871,              0.0065871
                      3,                 1.6258,                  2.133,                 1.8267,                0.62757,                0.16862,                0.19057,                0.08487,                 1.0153,                 95.415,                 1.1949,              0.0097886,              0.0097886,              0.0097886
                      4,                 1.6568,                 2.0695,                 1.8661,                 0.4194,                0.34804,                 0.2875,                0.13834,                 1.0039,                 55.721,                 1.1618,               0.009703,               0.009703,               0.009703
                      5,                 1.6192,                 1.9395,                 1.8359,                0.37652,                0.29541,                 0.2534,                0.13237,                 1.0261,                 101.26,                 1.2003,               0.009604,               0.009604,               0.009604
                      6,                 1.5788,                 1.8644,                 1.8123,                0.48861,                0.35744,                0.38375,                0.19017,                 1.0673,                 43.627,                 1.1767,               0.009505,               0.009505,               0.009505
                      7,                 1.5504,                 1.7834,                 1.7808,                0.73042,                 0.4016,                0.43328,                0.25331,                0.82402,                 42.277,                 1.0041,               0.009406,               0.009406,               0.009406
                      8,                 1.5238,                 1.7247,                 1.7665,                0.55884,                0.40972,                 0.4553,                0.27591,                0.80129,                 59.509,                0.98355,               0.009307,               0.009307,               0.009307
                      9,                 1.5063,                 1.6711,                 1.7491,                0.48637,                0.45223,                0.45772,                0.26908,                0.78139,                 31.876,                0.98197,               0.009208,               0.009208,               0.009208
                     10,                 1.4843,                 1.6288,                 1.7245,                0.79038,                 0.4164,                0.51511,                0.29699,                0.76629,                 56.215,                0.95576,               0.009109,               0.009109,               0.009109
                     11,                   1.47,                 1.5789,                 1.7035,                 0.7255,                0.47703,                0.52705,                0.31095,                0.80097,                 34.393,                0.98667,                0.00901,                0.00901,                0.00901
                     12,                  1.449,                 1.5367,                  1.698,                0.62832,                0.44487,                0.52558,                0.33025,                0.75079,                  14.89,                0.96007,               0.008911,               0.008911,               0.008911
                     13,                 1.4368,                 1.5164,                 1.6838,                0.60977,                0.44581,                0.52371,                0.31294,                0.74346,                 53.627,                0.91763,               0.008812,               0.008812,               0.008812
                      1,                 1.7513,                 2.7959,                 1.9408,                0.34917,                0.16543,                0.13412,                0.06641,                 1.0201,                 307.79,                 1.1323,              0.0033197,              0.0033197,              0.0033197
                      2,                  1.607,                 2.2416,                 1.8106,                0.28792,                0.31901,                0.21902,                0.11194,                 0.8921,                 208.96,                 1.0916,              0.0065871,              0.0065871,              0.0065871
