                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.0029,                0.78436,                 1.3198,                0.79116,                0.83673,                0.88053,                 0.6323,                0.29238,                 3.3664,                 0.4185,                0.00604,                0.00604,                0.00604
                     42,                0.98893,                0.77391,                 1.3101,                0.76538,                0.85867,                0.86159,                0.63603,                0.28302,                 7.1361,                0.40996,               0.005941,               0.005941,               0.005941
                     43,                0.97803,                0.76873,                 1.3067,                0.78675,                 0.8363,                0.88852,                0.64033,                0.27903,                 3.8284,                0.41026,               0.005842,               0.005842,               0.005842
                     44,                0.97448,                0.75665,                 1.3037,                0.82166,                0.85594,                0.89699,                0.65581,                0.27774,                 3.5797,                0.40693,               0.005743,               0.005743,               0.005743
                     45,                0.96851,                0.75275,                 1.2975,                0.88508,                0.81401,                 0.8788,                0.63654,                0.28217,                 2.3385,                0.40843,               0.005644,               0.005644,               0.005644
                     46,                0.96529,                0.74997,                 1.2912,                0.88912,                0.84199,                0.89013,                0.64382,                0.28532,                 3.9148,                0.40824,               0.005545,               0.005545,               0.005545
                     47,                0.94723,                 0.7324,                 1.2779,                0.85883,                0.79728,                0.88869,                0.65699,                0.27222,                 3.1219,                0.40027,               0.005446,               0.005446,               0.005446
                     48,                0.94493,                0.73777,                 1.2837,                0.80806,                 0.8459,                0.87923,                0.64028,                 0.2785,                 3.0151,                0.40881,               0.005347,               0.005347,               0.005347
                     49,                0.93328,                0.72536,                 1.2703,                0.81629,                0.83272,                0.88067,                0.65141,                0.28309,                 2.9357,                0.40918,               0.005248,               0.005248,               0.005248
                     50,                0.93128,                0.72052,                 1.2695,                0.86956,                0.80951,                0.88341,                 0.6477,                0.28152,                   2.92,                0.40746,               0.005149,               0.005149,               0.005149
                     51,                0.92327,                0.71357,                 1.2624,                 0.8926,                0.82245,                0.89899,                 0.6571,                0.26906,                 3.0731,                0.40202,                0.00505,                0.00505,                0.00505
                     52,                0.91397,                0.70413,                 1.2557,                0.79198,                0.84677,                0.87263,                0.64787,                0.26814,                 3.0556,                0.40125,               0.004951,               0.004951,               0.004951
                     53,                0.90741,                0.69956,                 1.2536,                0.80368,                0.83648,                0.88172,                0.64262,                0.27188,                 3.1878,                0.40394,               0.004852,               0.004852,               0.004852
                     54,                0.90138,                0.69336,                 1.2486,                 0.7841,                0.86637,                0.88837,                0.64101,                 0.2782,                 2.7378,                0.40669,               0.004753,               0.004753,               0.004753
                     55,                0.89422,                 0.6864,                 1.2416,                0.84571,                0.80002,                0.87565,                0.64133,                 0.2776,                 3.8327,                 0.4039,               0.004654,               0.004654,               0.004654
                     56,                0.89144,                0.68558,                 1.2393,                0.82728,                0.84574,                0.89527,                0.65298,                0.27575,                 2.7165,                0.40069,               0.004555,               0.004555,               0.004555
                     57,                  0.889,                0.67812,                 1.2328,                0.79579,                0.85312,                0.87766,                0.64231,                0.27721,                 2.1258,                0.40677,               0.004456,               0.004456,               0.004456
                     58,                0.87395,                 0.6677,                 1.2295,                0.78644,                0.90996,                0.89284,                0.65424,                0.26737,                 1.7415,                0.40087,               0.004357,               0.004357,               0.004357
                     59,                0.86883,                0.66112,                 1.2204,                0.82325,                0.85248,                0.88097,                0.64677,                0.27239,                 2.0076,                 0.4046,               0.004258,               0.004258,               0.004258
                     60,                0.86304,                0.66204,                 1.2209,                0.85585,                0.83225,                0.89382,                 0.6632,                0.27055,                 2.4005,                0.40167,               0.004159,               0.004159,               0.004159
                     61,                0.85176,                0.65283,                 1.2116,                0.81399,                0.85955,                0.89078,                 0.6653,                0.26362,                 1.6769,                0.39542,                0.00406,                0.00406,                0.00406
                     62,                0.85193,                0.64773,                 1.2122,                0.92065,                0.77233,                0.90133,                0.66914,                0.26088,                 2.1936,                0.39567,               0.003961,               0.003961,               0.003961
                     63,                0.83945,                0.64056,                 1.2005,                0.84345,                0.84469,                0.90147,                0.66942,                0.26976,                 1.4842,                0.40162,               0.003862,               0.003862,               0.003862
                     64,                0.84311,                0.63637,                 1.2031,                 0.8658,                0.82838,                0.90302,                0.65982,                0.26494,                0.86091,                0.39888,               0.003763,               0.003763,               0.003763
                     65,                0.83518,                0.63922,                 1.2033,                 0.8669,                0.82574,                0.90145,                0.66358,                0.26669,                 1.6204,                0.40103,               0.003664,               0.003664,               0.003664
                     66,                0.82453,                0.63006,                 1.1951,                0.81911,                0.89541,                0.89829,                0.65687,                0.26692,                 1.4277,                0.40161,               0.003565,               0.003565,               0.003565
                     67,                 0.8264,                0.62754,                 1.1947,                0.83925,                0.87229,                  0.911,                0.66013,                0.26534,                 1.7796,                0.40222,               0.003466,               0.003466,               0.003466
                     68,                 0.8172,                0.62008,                 1.1854,                0.83665,                0.86997,                0.90717,                 0.6684,                0.26378,                 1.1663,                0.40583,               0.003367,               0.003367,               0.003367
                     69,                 0.8088,                0.61359,                 1.1847,                0.82108,                0.85354,                0.88995,                0.65416,                0.26541,                 1.1632,                0.40515,               0.003268,               0.003268,               0.003268
                     70,                0.80921,                0.61466,                   1.18,                0.81171,                0.88201,                0.88916,                 0.6557,                0.25974,                 1.1822,                0.40293,               0.003169,               0.003169,               0.003169
                     71,                0.80126,                0.60871,                 1.1795,                0.82815,                 0.8724,                0.88936,                0.65525,                0.25499,                 1.3175,                0.40238,                0.00307,                0.00307,                0.00307
                     72,                0.79395,                 0.6057,                 1.1754,                0.82707,                 0.8847,                0.89631,                0.66162,                0.25335,                 1.1987,                0.39888,               0.002971,               0.002971,               0.002971
                     73,                0.79674,                0.60316,                 1.1754,                0.83313,                0.86116,                0.89408,                0.66686,                0.25133,                 1.0203,                0.39669,               0.002872,               0.002872,               0.002872
                     74,                0.78526,                0.59744,                 1.1685,                 0.8069,                0.87358,                0.89265,                 0.6618,                0.25668,                 1.1308,                0.39564,               0.002773,               0.002773,               0.002773
                     75,                0.78189,                0.59121,                  1.167,                0.82443,                0.87827,                0.90032,                0.66519,                 0.2579,                 1.4696,                0.39964,               0.002674,               0.002674,               0.002674
                     76,                0.76578,                0.58039,                 1.1529,                 0.8348,                0.88271,                 0.9044,                0.67075,                0.25744,                 1.5041,                0.40241,               0.002575,               0.002575,               0.002575
                     77,                0.77032,                0.58632,                 1.1603,                0.84192,                0.88081,                0.90122,                0.66947,                0.25468,                 1.1837,                0.39866,               0.002476,               0.002476,               0.002476
                     78,                0.75999,                0.57246,                 1.1498,                0.81791,                0.87865,                0.89311,                0.65514,                0.25631,                 1.0374,                0.39736,               0.002377,               0.002377,               0.002377
                     79,                0.76515,                0.57586,                 1.1513,                0.85401,                0.85477,                0.89345,                0.66241,                0.25496,                0.77899,                0.39832,               0.002278,               0.002278,               0.002278
                     80,                0.75189,                0.56711,                 1.1471,                0.84795,                0.86947,                0.89483,                0.65826,                0.25489,                0.71321,                0.40075,               0.002179,               0.002179,               0.002179
                     81,                0.74356,                 0.5635,                 1.1399,                0.84098,                0.87075,                0.89239,                0.65651,                0.25326,                0.81817,                0.39899,                0.00208,                0.00208,                0.00208
                     82,                0.74519,                0.56389,                 1.1433,                0.84777,                0.86593,                 0.8927,                0.65902,                0.25138,                0.81716,                0.39946,               0.001981,               0.001981,               0.001981
                     83,                0.74413,                0.56325,                  1.143,                0.86502,                0.83412,                0.89198,                  0.659,                 0.2539,                0.82876,                0.40179,               0.001882,               0.001882,               0.001882
                     84,                0.73588,                 0.5541,                 1.1335,                0.81657,                0.88013,                0.88865,                0.65543,                0.25157,                0.78426,                0.39772,               0.001783,               0.001783,               0.001783
                     85,                0.72606,                0.55118,                 1.1287,                0.83154,                0.86988,                0.89173,                0.66054,                0.24759,                0.74705,                0.39859,               0.001684,               0.001684,               0.001684
                     86,                0.72578,                0.55156,                 1.1283,                0.83894,                0.86095,                0.89014,                0.66135,                0.24548,                0.71328,                0.39723,               0.001585,               0.001585,               0.001585
                     87,                0.71159,                0.53993,                 1.1187,                0.83189,                0.87275,                0.89152,                0.66054,                0.24734,                0.67013,                0.40091,               0.001486,               0.001486,               0.001486
                     88,                0.71564,                0.54289,                  1.122,                0.83441,                0.86864,                0.89086,                0.66438,                0.24807,                 0.6729,                0.40194,               0.001387,               0.001387,               0.001387
                     89,                0.70994,                0.53905,                 1.1228,                0.84497,                0.86767,                0.89332,                0.66335,                0.24992,                0.66147,                0.40342,               0.001288,               0.001288,               0.001288
                     90,                0.70323,                0.53597,                 1.1168,                0.86214,                0.86623,                0.89344,                0.66634,                0.24978,                0.66545,                0.40345,               0.001189,               0.001189,               0.001189
                     91,                0.59705,                0.38225,                 1.0756,                0.83837,                0.86999,                0.89613,                0.67128,                0.24768,                0.72419,                0.40234,                0.00109,                0.00109,                0.00109
                     92,                0.56921,                0.35793,                 1.0525,                0.84628,                0.86043,                0.89865,                0.67262,                0.24716,                0.78395,                0.40246,               0.000991,               0.000991,               0.000991
                     93,                0.55944,                0.35232,                 1.0493,                0.85351,                0.86005,                0.89866,                0.67394,                 0.2456,                0.82939,                0.40169,               0.000892,               0.000892,               0.000892
                     94,                0.55103,                0.34831,                 1.0435,                0.85328,                0.86583,                0.89778,                 0.6741,                0.24514,                0.78552,                0.40269,               0.000793,               0.000793,               0.000793
                     95,                0.54467,                0.34602,                 1.0415,                0.85489,                0.86282,                0.89824,                0.67318,                0.24552,                0.71402,                0.40407,               0.000694,               0.000694,               0.000694
                     96,                0.53446,                0.34022,                 1.0331,                0.84768,                 0.8783,                0.90025,                0.67491,                0.24442,                0.57253,                0.40405,               0.000595,               0.000595,               0.000595
                     97,                0.52948,                0.33754,                  1.024,                0.86216,                 0.8519,                0.89976,                0.67503,                0.24479,                0.52582,                0.40436,               0.000496,               0.000496,               0.000496
                     98,                0.52349,                0.33023,                 1.0229,                0.86215,                0.86119,                0.89876,                0.67578,                0.24477,                0.51085,                0.40503,               0.000397,               0.000397,               0.000397
                     99,                0.51804,                0.33123,                 1.0226,                0.85919,                0.86256,                0.89964,                0.67676,                0.24445,                0.48412,                0.40465,               0.000298,               0.000298,               0.000298
                    100,                0.51586,                0.32903,                 1.0218,                0.85842,                0.86245,                0.89759,                0.67453,                0.24387,                0.46387,                0.40489,               0.000199,               0.000199,               0.000199
